Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.S_1001222-DA6,    17.9365,   -64.17,          0,     0.00,          0,     0.00,          0,     0.00,    17.9365,   -64.17,    17.9365,   115.83,          0,     0.00,          0,     0.00,          0,     0.00,    17.9365,   115.83
Line.S_1001222-DA7,    17.9365,   -64.17,          0,     0.00,          0,     0.00,          0,     0.00,    17.9365,   -64.17,    17.9365,   115.83,          0,     0.00,          0,     0.00,          0,     0.00,    17.9365,   115.83
Line.S_1001222-DA8,    17.9365,   -64.17,          0,     0.00,          0,     0.00,          0,     0.00,    17.9365,   -64.17,    17.9365,   115.83,          0,     0.00,          0,     0.00,          0,     0.00,    17.9365,   115.83
Line.S_1001221-DA1,    143.217,   -63.45,          0,     0.00,          0,     0.00,          0,     0.00,    143.217,   -63.45,    143.217,   116.55,          0,     0.00,          0,     0.00,          0,     0.00,    143.217,   116.55
Line.S_1001219-DA1,    53.7816,   -63.92,          0,     0.00,          0,     0.00,          0,     0.00,    53.7816,   -63.92,    53.7816,   116.08,          0,     0.00,          0,     0.00,          0,     0.00,    53.7816,   116.08
Line.S_1001219-DA2,    53.7816,   -63.92,          0,     0.00,          0,     0.00,          0,     0.00,    53.7816,   -63.92,    53.7816,   116.08,          0,     0.00,          0,     0.00,          0,     0.00,    53.7816,   116.08
Line.S_1001224-DC1,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001224-DC2,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001224-DC3,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001224-DC4,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001224-DC5,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001224-DC6,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001224-DC7,    22.5923,    56.18,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,    56.18,    22.5923,  -123.82,          0,     0.00,          0,     0.00,          0,     0.00,    22.5923,  -123.82
Line.S_1001228-DB1,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB2,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB3,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB4,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB5,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB6,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB7,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001228-DB8,    19.0314,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,   175.97,    19.0314,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    19.0314,    -4.03
Line.S_1001229-DB1,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB2,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB3,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB4,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB5,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB6,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB7,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB8,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB9,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001229-DB10,    15.2259,   175.96,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,   175.96,    15.2259,    -4.04,          0,     0.00,          0,     0.00,          0,     0.00,    15.2259,    -4.04
Line.S_1001230-DB1,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB2,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB3,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB4,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB5,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB6,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB7,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB8,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001230-DB9,    16.9172,   175.97,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,   175.97,    16.9172,    -4.03,          0,     0.00,          0,     0.00,          0,     0.00,    16.9172,    -4.03
Line.S_1001234-DC1,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC2,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC3,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC4,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC5,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC6,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC7,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC8,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC9,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001234-DC10,    15.8163,    56.14,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,    56.14,    15.8163,  -123.86,          0,     0.00,          0,     0.00,          0,     0.00,    15.8163,  -123.86
Line.S_1001233-DC1,    39.5241,    56.30,          0,     0.00,          0,     0.00,          0,     0.00,    39.5241,    56.30,    39.5241,  -123.70,          0,     0.00,          0,     0.00,          0,     0.00,    39.5241,  -123.70
Line.S_1001233-DC2,    39.5241,    56.30,          0,     0.00,          0,     0.00,          0,     0.00,    39.5241,    56.30,    39.5241,  -123.70,          0,     0.00,          0,     0.00,          0,     0.00,    39.5241,  -123.70
Line.S_1001232-DC1,    26.3558,    56.20,          0,     0.00,          0,     0.00,          0,     0.00,    26.3558,    56.20,    26.3559,  -123.80,          0,     0.00,          0,     0.00,          0,     0.00,    26.3559,  -123.80
Line.S_1001232-DC2,    26.3558,    56.20,          0,     0.00,          0,     0.00,          0,     0.00,    26.3558,    56.20,    26.3559,  -123.80,          0,     0.00,          0,     0.00,          0,     0.00,    26.3559,  -123.80
Line.S_1001232-DC3,    26.3558,    56.20,          0,     0.00,          0,     0.00,          0,     0.00,    26.3558,    56.20,    26.3559,  -123.80,          0,     0.00,          0,     0.00,          0,     0.00,    26.3559,  -123.80
Line.S_1001232-DC4,    26.3558,    56.20,          0,     0.00,          0,     0.00,          0,     0.00,    26.3558,    56.20,    26.3559,  -123.80,          0,     0.00,          0,     0.00,          0,     0.00,    26.3559,  -123.80
Line.S_1001232-DC5,    26.3558,    56.20,          0,     0.00,          0,     0.00,          0,     0.00,    26.3558,    56.20,    26.3559,  -123.80,          0,     0.00,          0,     0.00,          0,     0.00,    26.3559,  -123.80
Line.S_1001232-DC6,    26.3558,    56.20,          0,     0.00,          0,     0.00,          0,     0.00,    26.3558,    56.20,    26.3559,  -123.80,          0,     0.00,          0,     0.00,          0,     0.00,    26.3559,  -123.80
Line.S_1001231-DC1,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC2,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC3,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC4,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC5,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC6,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC7,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001231-DC8,    19.7689,    56.16,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,    56.16,    19.7689,  -123.84,          0,     0.00,          0,     0.00,          0,     0.00,    19.7689,  -123.84
Line.S_1001637-DA1,    25.1607,   -94.50,    25.1656,   145.54,    25.1688,    25.37,          0,     0.00,  0.0594673,   -72.84,    25.1607,    85.50,    25.1656,   -34.46,    25.1688,  -154.63,          0,     0.00,  0.0594673,   107.16
Line.S_1001637-DA2,    25.1607,   -94.50,    25.1656,   145.54,    25.1688,    25.37,          0,     0.00,  0.0594673,   -72.84,    25.1607,    85.50,    25.1656,   -34.46,    25.1688,  -154.63,          0,     0.00,  0.0594673,   107.16
Line.S_1001637-DA3,    25.1607,   -94.50,    25.1656,   145.54,    25.1688,    25.37,          0,     0.00,  0.0594673,   -72.84,    25.1607,    85.50,    25.1656,   -34.46,    25.1688,  -154.63,          0,     0.00,  0.0594673,   107.16
Line.S_1001637-DA4,    25.1607,   -94.50,    25.1656,   145.54,    25.1688,    25.37,          0,     0.00,  0.0594673,   -72.84,    25.1607,    85.50,    25.1656,   -34.46,    25.1688,  -154.63,          0,     0.00,  0.0594673,   107.16
Line.S_1001637-DA5,    25.1607,   -94.50,    25.1656,   145.54,    25.1688,    25.37,          0,     0.00,  0.0594673,   -72.84,    25.1607,    85.50,    25.1656,   -34.46,    25.1688,  -154.63,          0,     0.00,  0.0594673,   107.16
Line.S_1001637-DA6,    25.1607,   -94.50,    25.1656,   145.54,    25.1688,    25.37,          0,     0.00,  0.0594673,   -72.84,    25.1607,    85.50,    25.1656,   -34.46,    25.1688,  -154.63,          0,     0.00,  0.0594673,   107.16
Line.S_1003127-DB1,    15.2389,   176.23,          0,     0.00,          0,     0.00,          0,     0.00,    15.2389,   176.23,    15.2389,    -3.77,          0,     0.00,          0,     0.00,          0,     0.00,    15.2389,    -3.77
Line.S_1003133-DB1,    38.0984,   176.37,          0,     0.00,          0,     0.00,          0,     0.00,    38.0984,   176.37,    38.0984,    -3.63,          0,     0.00,          0,     0.00,          0,     0.00,    38.0984,    -3.63
Line.S_1003134-DA1,     50.375,   -94.10,    50.3786,   145.95,    50.3868,    25.85,          0,     0.00,  0.0736619,   -84.93,    50.3751,    85.90,    50.3787,   -34.05,    50.3868,  -154.15,          0,     0.00,  0.0736619,    95.07
Line.S_1003134-DA2,     50.375,   -94.10,    50.3786,   145.95,    50.3868,    25.85,          0,     0.00,  0.0736619,   -84.93,    50.3751,    85.90,    50.3787,   -34.05,    50.3868,  -154.15,          0,     0.00,  0.0736619,    95.07
Line.S_1003134-DA3,     50.375,   -94.10,    50.3786,   145.95,    50.3868,    25.85,          0,     0.00,  0.0736619,   -84.93,    50.3751,    85.90,    50.3787,   -34.05,    50.3868,  -154.15,          0,     0.00,  0.0736619,    95.07
Line.S_1003125-DA1,    21.5152,   -64.16,          0,     0.00,          0,     0.00,          0,     0.00,    21.5152,   -64.16,    21.5152,   115.84,          0,     0.00,          0,     0.00,          0,     0.00,    21.5152,   115.84
Line.S_1003130-DA1,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA2,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA3,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA4,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA5,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA6,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA7,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA8,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA9,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA10,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA11,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA12,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA13,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA14,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA15,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA16,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA17,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA18,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA19,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA20,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA21,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA22,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA23,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA24,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA25,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA26,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA27,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA28,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA29,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA30,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA31,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA32,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA33,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA34,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA35,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA36,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA37,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA38,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA39,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA40,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA41,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA42,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
Line.S_1003130-DA43,    2.99987,   -94.46,    2.99986,   145.60,    3.00025,    25.54,          0,     0.00, 0.00295709,  -112.74,    2.99991,    85.54,     2.9999,   -34.40,    3.00029,  -154.47,          0,     0.00, 0.00295709,    67.26
